,N_Estimators,Max_Depth,Confusion Matrix Split 31
0,200,5,"[4, 1, 2, 3]"
1,200,7,"[3, 2, 2, 3]"
2,200,10,"[3, 2, 3, 2]"
3,300,5,"[4, 1, 2, 3]"
4,300,7,"[3, 2, 3, 2]"
5,300,10,"[3, 2, 3, 2]"
6,400,5,"[4, 1, 3, 2]"
7,400,7,"[3, 2, 3, 2]"
8,400,10,"[3, 2, 3, 2]"
9,500,5,"[4, 1, 2, 3]"
10,500,7,"[3, 2, 2, 3]"
11,500,10,"[3, 2, 2, 3]"
