,Max_depth,N_estimators,Confusion Matrix Split 77
0,3,50,"[3, 2, 3, 1]"
1,3,183,"[3, 2, 3, 1]"
2,3,316,"[3, 2, 3, 1]"
3,3,450,"[3, 2, 3, 1]"
4,4,50,"[3, 2, 3, 1]"
5,4,183,"[3, 2, 3, 1]"
6,4,316,"[3, 2, 3, 1]"
7,4,450,"[3, 2, 3, 1]"
8,5,50,"[3, 2, 3, 1]"
9,5,183,"[3, 2, 3, 1]"
10,5,316,"[3, 2, 3, 1]"
11,5,450,"[3, 2, 2, 2]"
12,6,50,"[3, 2, 3, 1]"
13,6,183,"[3, 2, 3, 1]"
14,6,316,"[3, 2, 3, 1]"
15,6,450,"[3, 2, 3, 1]"
16,7,50,"[3, 2, 3, 1]"
17,7,183,"[3, 2, 3, 1]"
18,7,316,"[3, 2, 3, 1]"
19,7,450,"[3, 2, 3, 1]"
