,Kernel,C,Gamma,Degree,Confusion Matrix Split 21,Confusion Matrix Split 22,Confusion Matrix Split 23,Confusion Matrix Split 24,Confusion Matrix Split 25,Confusion Matrix Split 26,Confusion Matrix Split 27,Confusion Matrix Split 28,Confusion Matrix Split 29,Confusion Matrix Split 30
20,poly,10.0,10.0,3.0,"[2, 3, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 1]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
21,linear,100.0,,,"[2, 3, 3, 2]","[3, 2, 2, 3]","[3, 2, 1, 4]","[2, 3, 2, 3]","[4, 1, 3, 2]","[5, 0, 2, 3]","[4, 1, 1, 3]","[3, 2, 2, 2]","[0, 4, 3, 2]","[3, 1, 2, 3]"
22,rbf,100.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
23,poly,100.0,1.0,2.0,"[1, 4, 4, 1]","[3, 2, 2, 3]","[2, 3, 3, 2]","[4, 1, 2, 3]","[5, 0, 1, 4]","[4, 1, 3, 2]","[3, 2, 2, 2]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
24,poly,100.0,1.0,3.0,"[2, 3, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 1]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
25,rbf,100.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
26,poly,100.0,10.0,2.0,"[1, 4, 4, 1]","[3, 2, 2, 3]","[2, 3, 3, 2]","[4, 1, 2, 3]","[5, 0, 1, 4]","[4, 1, 3, 2]","[3, 2, 2, 2]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
27,poly,100.0,10.0,3.0,"[2, 3, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 1]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
28,linear,1000.0,,,"[2, 3, 3, 2]","[3, 2, 2, 3]","[3, 2, 1, 4]","[2, 3, 2, 3]","[4, 1, 3, 2]","[4, 1, 2, 3]","[4, 1, 1, 3]","[2, 3, 1, 3]","[0, 4, 3, 2]","[3, 1, 2, 3]"
29,rbf,1000.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
30,poly,1000.0,1.0,2.0,"[1, 4, 4, 1]","[3, 2, 2, 3]","[2, 3, 3, 2]","[4, 1, 2, 3]","[5, 0, 1, 4]","[4, 1, 3, 2]","[3, 2, 2, 2]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
31,poly,1000.0,1.0,3.0,"[2, 3, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 1]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
32,rbf,1000.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
33,poly,1000.0,10.0,2.0,"[1, 4, 4, 1]","[3, 2, 2, 3]","[2, 3, 3, 2]","[4, 1, 2, 3]","[5, 0, 1, 4]","[4, 1, 3, 2]","[3, 2, 2, 2]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
34,poly,1000.0,10.0,3.0,"[2, 3, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 1]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
