,N_Estimators,Max_Depth,Confusion Matrix Split 81,Confusion Matrix Split 82,Confusion Matrix Split 83,Confusion Matrix Split 84,Confusion Matrix Split 85,Confusion Matrix Split 86,Confusion Matrix Split 87,Confusion Matrix Split 88,Confusion Matrix Split 89,Confusion Matrix Split 90
0,200,5,"[4, 1, 2, 3]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 3]","[4, 1, 1, 3]","[4, 0, 2, 3]","[2, 2, 2, 3]"
1,200,7,"[3, 2, 3, 2]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 1, 3]","[4, 0, 2, 3]","[2, 2, 2, 3]"
2,200,10,"[3, 2, 2, 3]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 1, 3]","[4, 0, 2, 3]","[2, 2, 1, 4]"
3,300,5,"[3, 2, 3, 2]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[2, 2, 1, 4]"
4,300,7,"[3, 2, 3, 2]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 1, 3]","[4, 0, 2, 3]","[2, 2, 2, 3]"
5,300,10,"[3, 2, 2, 3]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 1, 3]","[4, 0, 2, 3]","[2, 2, 1, 4]"
6,400,5,"[4, 1, 3, 2]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 1, 4]","[3, 2, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
7,400,7,"[4, 1, 3, 2]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 0, 5]","[3, 2, 0, 4]","[4, 1, 1, 3]","[4, 0, 1, 4]","[2, 2, 1, 4]"
8,400,10,"[3, 2, 2, 3]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 0, 5]","[3, 2, 0, 4]","[4, 1, 1, 3]","[4, 0, 1, 4]","[2, 2, 1, 4]"
9,500,5,"[4, 1, 3, 2]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 1, 4]","[3, 2, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[2, 2, 1, 4]"
10,500,7,"[4, 1, 3, 2]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 0, 5]","[3, 2, 0, 4]","[4, 1, 1, 3]","[4, 0, 1, 4]","[2, 2, 1, 4]"
11,500,10,"[3, 2, 2, 3]","[2, 3, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 2, 3]","[3, 2, 0, 5]","[3, 2, 0, 4]","[4, 1, 1, 3]","[4, 0, 1, 4]","[2, 2, 1, 4]"
