,Kernel,C,Gamma,Degree,Confusion Matrix Split 11,Confusion Matrix Split 12,Confusion Matrix Split 13,Confusion Matrix Split 14,Confusion Matrix Split 15,Confusion Matrix Split 16,Confusion Matrix Split 17,Confusion Matrix Split 18,Confusion Matrix Split 19,Confusion Matrix Split 20
0,linear,0.1,,,"[4, 1, 2, 3]","[5, 0, 2, 3]","[3, 2, 3, 2]","[1, 4, 3, 2]","[4, 1, 1, 4]","[3, 2, 1, 4]","[3, 2, 2, 2]","[1, 4, 1, 3]","[1, 3, 4, 1]","[3, 1, 1, 4]"
1,rbf,0.1,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
2,poly,0.1,1.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
3,poly,0.1,1.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
4,rbf,0.1,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
5,poly,0.1,10.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
6,poly,0.1,10.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
7,linear,1.0,,,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 3, 2]","[1, 4, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[3, 2, 2, 2]","[1, 4, 1, 3]","[1, 3, 4, 1]","[3, 1, 1, 4]"
8,rbf,1.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
9,poly,1.0,1.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
10,poly,1.0,1.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
11,rbf,1.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
12,poly,1.0,10.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
