,N_Estimators,Max_Depth,Confusion Matrix Split 44
0,200,5,"[3, 2, 2, 3]"
1,200,7,"[3, 2, 2, 3]"
2,200,10,"[3, 2, 2, 3]"
3,300,5,"[4, 1, 2, 3]"
4,300,7,"[2, 3, 2, 3]"
5,300,10,"[2, 3, 2, 3]"
6,400,5,"[3, 2, 2, 3]"
7,400,7,"[3, 2, 1, 4]"
8,400,10,"[3, 2, 2, 3]"
9,500,5,"[4, 1, 1, 4]"
10,500,7,"[4, 1, 1, 4]"
11,500,10,"[4, 1, 1, 4]"
