,Kernel,C,Gamma,Degree,Confusion Matrix Split 31,Confusion Matrix Split 32,Confusion Matrix Split 33,Confusion Matrix Split 34,Confusion Matrix Split 35,Confusion Matrix Split 36,Confusion Matrix Split 37,Confusion Matrix Split 38,Confusion Matrix Split 39,Confusion Matrix Split 40
0,linear,0.1,,,"[3, 2, 4, 1]","[2, 3, 0, 5]","[4, 1, 1, 4]","[4, 1, 3, 2]","[3, 2, 1, 4]","[4, 1, 2, 3]","[4, 1, 3, 1]","[1, 4, 2, 2]","[3, 1, 0, 5]","[2, 2, 3, 2]"
1,rbf,0.1,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
2,poly,0.1,1.0,2.0,"[3, 2, 1, 4]","[1, 4, 1, 4]","[2, 3, 1, 4]","[3, 2, 3, 2]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 3, 1]","[2, 3, 4, 0]","[1, 3, 2, 3]","[2, 2, 3, 2]"
3,poly,0.1,1.0,3.0,"[3, 2, 2, 3]","[0, 5, 1, 4]","[2, 3, 1, 4]","[2, 3, 3, 2]","[4, 1, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 2]","[2, 3, 4, 0]","[2, 2, 2, 3]","[3, 1, 4, 1]"
4,rbf,0.1,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
5,poly,0.1,10.0,2.0,"[3, 2, 1, 4]","[1, 4, 1, 4]","[2, 3, 1, 4]","[3, 2, 3, 2]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 3, 1]","[2, 3, 4, 0]","[1, 3, 2, 3]","[2, 2, 3, 2]"
6,poly,0.1,10.0,3.0,"[3, 2, 2, 3]","[0, 5, 1, 4]","[2, 3, 1, 4]","[2, 3, 3, 2]","[4, 1, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 2]","[2, 3, 4, 0]","[2, 2, 2, 3]","[3, 1, 4, 1]"
7,linear,1.0,,,"[3, 2, 4, 1]","[2, 3, 0, 5]","[4, 1, 1, 4]","[4, 1, 4, 1]","[3, 2, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 2]","[2, 3, 2, 2]","[3, 1, 0, 5]","[2, 2, 3, 2]"
8,rbf,1.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
9,poly,1.0,1.0,2.0,"[3, 2, 1, 4]","[1, 4, 1, 4]","[2, 3, 1, 4]","[3, 2, 3, 2]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 3, 1]","[2, 3, 4, 0]","[1, 3, 2, 3]","[2, 2, 3, 2]"
