,N_Estimators,Max_Depth,Confusion Matrix Split 99
0,200,5,"[1, 3, 3, 2]"
1,200,7,"[1, 3, 2, 3]"
2,200,10,"[1, 3, 2, 3]"
3,300,5,"[1, 3, 3, 2]"
4,300,7,"[1, 3, 2, 3]"
5,300,10,"[1, 3, 2, 3]"
6,400,5,"[1, 3, 3, 2]"
7,400,7,"[1, 3, 2, 3]"
8,400,10,"[1, 3, 2, 3]"
9,500,5,"[1, 3, 3, 2]"
10,500,7,"[1, 3, 2, 3]"
11,500,10,"[1, 3, 2, 3]"
