,N_Estimators,Max_Depth,Confusion Matrix Split 97
0,200,5,"[5, 0, 2, 2]"
1,200,7,"[5, 0, 2, 2]"
2,200,10,"[5, 0, 2, 2]"
3,300,5,"[4, 1, 2, 2]"
4,300,7,"[4, 1, 2, 2]"
5,300,10,"[5, 0, 2, 2]"
6,400,5,"[5, 0, 2, 2]"
7,400,7,"[4, 1, 2, 2]"
8,400,10,"[5, 0, 2, 2]"
9,500,5,"[5, 0, 2, 2]"
10,500,7,"[4, 1, 2, 2]"
11,500,10,"[5, 0, 2, 2]"
