,N_Estimators,Max_Depth,Confusion Matrix Split 41,Confusion Matrix Split 42,Confusion Matrix Split 43,Confusion Matrix Split 44,Confusion Matrix Split 45,Confusion Matrix Split 46,Confusion Matrix Split 47,Confusion Matrix Split 48,Confusion Matrix Split 49,Confusion Matrix Split 50
0,200,5,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 1, 3]","[3, 1, 1, 4]","[3, 1, 0, 5]"
1,200,7,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[4, 1, 2, 3]","[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 1, 3]","[3, 1, 1, 4]","[3, 1, 0, 5]"
2,200,10,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[4, 1, 2, 3]","[2, 3, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 2, 2]","[3, 1, 1, 4]","[3, 1, 0, 5]"
3,300,5,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
4,300,7,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 2, 2]","[3, 1, 1, 4]","[3, 1, 0, 5]"
5,300,10,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 2, 3]","[2, 3, 0, 5]","[2, 3, 1, 4]","[4, 1, 2, 2]","[3, 2, 2, 2]","[3, 1, 1, 4]","[3, 1, 0, 5]"
6,400,5,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 2, 2]","[3, 1, 0, 5]","[3, 1, 0, 5]"
7,400,7,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 3, 2]","[3, 2, 0, 5]","[4, 1, 1, 4]","[4, 1, 2, 2]","[3, 2, 2, 2]","[3, 1, 1, 4]","[3, 1, 0, 5]"
8,400,10,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 3, 2]","[2, 3, 0, 5]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 2, 2]","[3, 1, 1, 4]","[3, 1, 0, 5]"
9,500,5,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
10,500,7,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 3, 2]","[3, 2, 0, 5]","[3, 2, 1, 4]","[4, 1, 2, 2]","[3, 2, 2, 2]","[3, 1, 1, 4]","[3, 1, 0, 5]"
11,500,10,"[2, 3, 1, 4]","[5, 0, 3, 2]","[5, 0, 2, 3]","[3, 2, 3, 2]","[2, 3, 0, 5]","[2, 3, 1, 4]","[4, 1, 2, 2]","[3, 2, 2, 2]","[3, 1, 1, 4]","[3, 1, 0, 5]"
