,Kernel,C,Gamma,Degree,Confusion Matrix Split 71,Confusion Matrix Split 72,Confusion Matrix Split 73,Confusion Matrix Split 74,Confusion Matrix Split 75,Confusion Matrix Split 76,Confusion Matrix Split 77,Confusion Matrix Split 78,Confusion Matrix Split 79,Confusion Matrix Split 80
20,poly,10.0,10.0,3.0,"[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 3, 2]","[3, 2, 2, 3]","[2, 3, 1, 4]","[5, 0, 3, 2]","[3, 2, 2, 2]","[4, 1, 2, 2]","[2, 2, 2, 3]","[2, 2, 1, 4]"
21,linear,100.0,,,"[4, 1, 3, 2]","[4, 1, 0, 5]","[3, 2, 4, 1]","[1, 4, 2, 3]","[4, 1, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 3]","[1, 4, 1, 3]","[3, 1, 1, 4]","[2, 2, 2, 3]"
22,rbf,100.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
23,poly,100.0,1.0,2.0,"[3, 2, 3, 2]","[5, 0, 3, 2]","[4, 1, 3, 2]","[3, 2, 2, 3]","[1, 4, 2, 3]","[5, 0, 4, 1]","[3, 2, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[2, 2, 2, 3]"
24,poly,100.0,1.0,3.0,"[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 3, 2]","[3, 2, 2, 3]","[2, 3, 1, 4]","[5, 0, 3, 2]","[3, 2, 2, 2]","[4, 1, 2, 2]","[2, 2, 2, 3]","[2, 2, 1, 4]"
25,rbf,100.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
26,poly,100.0,10.0,2.0,"[3, 2, 3, 2]","[5, 0, 3, 2]","[4, 1, 3, 2]","[3, 2, 2, 3]","[1, 4, 2, 3]","[5, 0, 4, 1]","[3, 2, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[2, 2, 2, 3]"
27,poly,100.0,10.0,3.0,"[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 3, 2]","[3, 2, 2, 3]","[2, 3, 1, 4]","[5, 0, 3, 2]","[3, 2, 2, 2]","[4, 1, 2, 2]","[2, 2, 2, 3]","[2, 2, 1, 4]"
28,linear,1000.0,,,"[4, 1, 3, 2]","[4, 1, 0, 5]","[3, 2, 4, 1]","[1, 4, 2, 3]","[4, 1, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 3]","[1, 4, 1, 3]","[3, 1, 1, 4]","[2, 2, 2, 3]"
29,rbf,1000.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
30,poly,1000.0,1.0,2.0,"[3, 2, 3, 2]","[5, 0, 3, 2]","[4, 1, 3, 2]","[3, 2, 2, 3]","[1, 4, 2, 3]","[5, 0, 4, 1]","[3, 2, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[2, 2, 2, 3]"
31,poly,1000.0,1.0,3.0,"[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 3, 2]","[3, 2, 2, 3]","[2, 3, 1, 4]","[5, 0, 3, 2]","[3, 2, 2, 2]","[4, 1, 2, 2]","[2, 2, 2, 3]","[2, 2, 1, 4]"
32,rbf,1000.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
33,poly,1000.0,10.0,2.0,"[3, 2, 3, 2]","[5, 0, 3, 2]","[4, 1, 3, 2]","[3, 2, 2, 3]","[1, 4, 2, 3]","[5, 0, 4, 1]","[3, 2, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[2, 2, 2, 3]"
34,poly,1000.0,10.0,3.0,"[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 3, 2]","[3, 2, 2, 3]","[2, 3, 1, 4]","[5, 0, 3, 2]","[3, 2, 2, 2]","[4, 1, 2, 2]","[2, 2, 2, 3]","[2, 2, 1, 4]"
