,N_Estimators,Max_Depth,Confusion Matrix Split 38
0,200,5,"[3, 2, 2, 2]"
1,200,7,"[3, 2, 2, 2]"
2,200,10,"[3, 2, 2, 2]"
3,300,5,"[2, 3, 2, 2]"
4,300,7,"[3, 2, 2, 2]"
5,300,10,"[3, 2, 2, 2]"
6,400,5,"[2, 3, 2, 2]"
7,400,7,"[2, 3, 2, 2]"
8,400,10,"[2, 3, 2, 2]"
9,500,5,"[2, 3, 2, 2]"
10,500,7,"[2, 3, 2, 2]"
11,500,10,"[2, 3, 2, 2]"
