,filename,Accuracy,F1
0,svmjmi_100_finalscore.csv,0.5875000000000001,0.603174603174603
1,svmmrmr_100_finalscore.csv,0.5802083333333333,0.603174603174603
2,rdforestjmi_100_finalscore.csv,0.7395833333333334,0.7378756888587976
3,xgboostjmi_100_finalscore.csv,0.7281249999999999,0.7198151518004429
4,xgboostmrmr_100_finalscore.csv,0.7145833333333333,0.7074538414882159
5,rdforestmrmr_100_finalscore.csv,0.7072916666666667,0.7060272134226313
6,rdforestvariance_100_finalscore.csv,0.7354166666666667,0.7366050772546144
7,svmvariance_100_finalscore.csv,0.5614583333333334,0.603174603174603
8,xgboostinfogain_100_finalscore.csv,0.7156250000000001,0.7081384822838873
9,xgboostAllFeatures_finalscore.csv,0.7385416666666667,0.7307984680493078
10,svmAllFeatures_finalscore.csv,0.546875,0.603174603174603
11,rdforestAllFeatures_finalscore.csv,0.7572916666666667,0.7534773478834242
12,rdforestinfogain_100_finalscore.csv,0.7302083333333333,0.7255072685605257
13,svminfogain_100_finalscore.csv,0.6520833333333333,0.6318699930681078
14,xgboostvariance_100_finalscore.csv,0.7124999999999999,0.7095031765483786
