,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
19,poly,10.0,10.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22],0.584375,0.6125271074354883,0.4624999999999999,0.5258139906486436,0.013339842161318435
20,poly,10.0,10.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20],0.5458333333333334,0.5716007329035694,0.3729166666666667,0.4506593955571769,0.010393492741038735
21,linear,100.0,,,[27 21 20 28],[29 19 18 30],[29 19 25 23],[26 22 19 29],[26 22 21 27],[29 19 20 28],[28 20 21 27],[30 18 20 28],[25 23 21 27],[25 23 17 31],0.575,0.5743922868355894,0.5791666666666666,0.5762049979668661,0.015774745405000765
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
23,poly,100.0,1.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22],0.584375,0.6125271074354883,0.4624999999999999,0.5258139906486436,0.013339842161318435
24,poly,100.0,1.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20],0.5458333333333334,0.5716007329035694,0.3729166666666667,0.4506593955571769,0.010393492741038735
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
26,poly,100.0,10.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22],0.584375,0.6125271074354883,0.4624999999999999,0.5258139906486436,0.013339842161318435
27,poly,100.0,10.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20],0.5458333333333334,0.5716007329035694,0.3729166666666667,0.4506593955571769,0.010393492741038735
28,linear,1000.0,,,[27 21 20 28],[29 19 19 29],[29 19 25 23],[26 22 19 29],[26 22 21 27],[30 18 20 28],[28 20 21 27],[28 20 20 28],[24 24 19 29],[25 23 17 31],0.5739583333333332,0.5730603100866402,0.58125,0.5764756612006516,0.013339842161318427
29,rbf,1000.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
30,poly,1000.0,1.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22],0.584375,0.6125271074354883,0.4624999999999999,0.5258139906486436,0.013339842161318435
31,poly,1000.0,1.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20],0.5458333333333334,0.5716007329035694,0.3729166666666667,0.4506593955571769,0.010393492741038735
32,rbf,1000.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
33,poly,1000.0,10.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22],0.584375,0.6125271074354883,0.4624999999999999,0.5258139906486436,0.013339842161318435
34,poly,1000.0,10.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20],0.5458333333333334,0.5716007329035694,0.3729166666666667,0.4506593955571769,0.010393492741038735
