,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
20,poly,10.0,10.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27],0.58125,0.5843476123028688,0.5604166666666667,0.5711435635978892,0.019592688860647058
21,linear,100.0,,,[33 15 26 22],[28 20 22 26],[31 17 16 32],[35 13 20 28],[34 14 21 27],[34 14 21 27],[30 18 15 33],[30 18 14 34],[28 20 19 29],[30 18 21 27],0.6229166666666667,0.6305614922458181,0.59375,0.6098578964118591,0.024414438654509645
22,rbf,100.0,1.0,,[23 25 24 24],[ 8 40 10 38],[23 25 25 23],[23 25 25 23],[18 30 21 27],[18 30 20 28],[13 35 15 33],[19 29 19 29],[18 30 20 28],[24 24 25 23],0.4822916666666666,0.48491660105605117,0.5750000000000001,0.5227588640081222,0.0054237844971573934
23,poly,100.0,1.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27],0.5947916666666667,0.5968624615316929,0.5875000000000001,0.5913021325134338,0.02715446499446826
24,poly,100.0,1.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27],0.58125,0.5843476123028688,0.5604166666666667,0.5711435635978892,0.019592688860647058
25,rbf,100.0,10.0,,[13 35 16 32],[ 8 40 10 38],[13 35 15 33],[18 30 20 28],[ 8 40 10 38],[18 30 20 28],[13 35 15 33],[ 8 40 10 38],[ 8 40 10 38],[13 35 15 33],0.478125,0.48477294833369433,0.70625,0.5732720477137889,0.002083333333333337
26,poly,100.0,10.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27],0.5947916666666667,0.5968624615316929,0.5875000000000001,0.5913021325134338,0.02715446499446826
27,poly,100.0,10.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27],0.58125,0.5843476123028688,0.5604166666666667,0.5711435635978892,0.019592688860647058
28,linear,1000.0,,,[32 16 24 24],[28 20 22 26],[31 17 16 32],[35 13 20 28],[34 14 21 27],[34 14 21 27],[30 18 14 34],[30 18 14 34],[28 20 18 30],[30 18 21 27],0.6260416666666667,0.6325970923486451,0.6020833333333333,0.6154026537712227,0.02374350138510938
29,rbf,1000.0,1.0,,[23 25 24 24],[ 8 40 10 38],[23 25 25 23],[23 25 25 23],[18 30 21 27],[18 30 20 28],[13 35 15 33],[19 29 19 29],[18 30 20 28],[24 24 25 23],0.4822916666666666,0.48491660105605117,0.5750000000000001,0.5227588640081222,0.0054237844971573934
30,poly,1000.0,1.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27],0.5947916666666667,0.5968624615316929,0.5875000000000001,0.5913021325134338,0.02715446499446826
31,poly,1000.0,1.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27],0.58125,0.5843476123028688,0.5604166666666667,0.5711435635978892,0.019592688860647058
32,rbf,1000.0,10.0,,[13 35 16 32],[ 8 40 10 38],[13 35 15 33],[18 30 20 28],[ 8 40 10 38],[18 30 20 28],[13 35 15 33],[ 8 40 10 38],[ 8 40 10 38],[13 35 15 33],0.478125,0.48477294833369433,0.70625,0.5732720477137889,0.002083333333333337
33,poly,1000.0,10.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27],0.5947916666666667,0.5968624615316929,0.5875000000000001,0.5913021325134338,0.02715446499446826
34,poly,1000.0,10.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27],0.58125,0.5843476123028688,0.5604166666666667,0.5711435635978892,0.019592688860647058
