,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
19,poly,10.0,10.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22],0.5187499999999999,0.5231168347386218,0.4499999999999999,0.4833325829067544,0.0183207027198235
20,poly,10.0,10.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21],0.5364583333333334,0.541625434822717,0.4604166666666666,0.4968807213915987,0.017361111111111122
21,linear,100.0,,,[29 19 17 31],[32 16 17 31],[32 16 20 28],[27 21 19 29],[29 19 18 30],[29 19 21 27],[31 17 18 30],[30 18 20 28],[28 20 20 28],[34 14 20 28],0.615625,0.6192133048661396,0.6041666666666665,0.6111720996952,0.016853695971543875
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
23,poly,100.0,1.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22],0.5187499999999999,0.5231168347386218,0.4499999999999999,0.4833325829067544,0.0183207027198235
24,poly,100.0,1.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21],0.5364583333333334,0.541625434822717,0.4604166666666666,0.4968807213915987,0.017361111111111122
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
26,poly,100.0,10.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22],0.5187499999999999,0.5231168347386218,0.4499999999999999,0.4833325829067544,0.0183207027198235
27,poly,100.0,10.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21],0.5364583333333334,0.541625434822717,0.4604166666666666,0.4968807213915987,0.017361111111111122
28,linear,1000.0,,,[29 19 17 31],[32 16 17 31],[32 16 20 28],[27 21 19 29],[29 19 18 30],[29 19 21 27],[31 17 18 30],[30 18 20 28],[28 20 20 28],[34 14 20 28],0.615625,0.6192133048661396,0.6041666666666665,0.6111720996952,0.016853695971543875
29,rbf,1000.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
30,poly,1000.0,1.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22],0.5187499999999999,0.5231168347386218,0.4499999999999999,0.4833325829067544,0.0183207027198235
31,poly,1000.0,1.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21],0.5364583333333334,0.541625434822717,0.4604166666666666,0.4968807213915987,0.017361111111111122
32,rbf,1000.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
33,poly,1000.0,10.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22],0.5187499999999999,0.5231168347386218,0.4499999999999999,0.4833325829067544,0.0183207027198235
34,poly,1000.0,10.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21],0.5364583333333334,0.541625434822717,0.4604166666666666,0.4968807213915987,0.017361111111111122
