,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
19,poly,10.0,10.0,2.0,[37 11 24 24],[34 14 25 23],[34 14 26 22],[31 17 23 25],[33 15 25 23],[35 13 28 20],[36 12 26 22],[39  9 24 24],[33 15 24 24],[31 17 23 25],0.5989583333333333,0.6309963139065307,0.4833333333333333,0.5464023336322263,0.016796370308955304
20,poly,10.0,10.0,3.0,[38 10 32 16],[35 13 29 19],[35 13 30 18],[35 13 29 19],[39  9 31 17],[38 10 31 17],[38 10 31 17],[40  8 30 18],[36 12 30 18],[36 12 30 18],0.5697916666666667,0.6188942882088042,0.36874999999999997,0.4613818170653613,0.009342794477134512
21,linear,100.0,,,[27 21 22 26],[30 18 18 30],[30 18 21 27],[26 22 19 29],[29 19 21 27],[29 19 25 23],[29 19 22 26],[33 15 21 27],[30 18 22 26],[27 21 19 29],0.5833333333333333,0.5872938521244284,0.5625,0.5740645275363495,0.017010345435994296
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
23,poly,100.0,1.0,2.0,[37 11 24 24],[34 14 25 23],[34 14 26 22],[31 17 23 25],[33 15 25 23],[35 13 28 20],[36 12 26 22],[39  9 24 24],[33 15 24 24],[31 17 23 25],0.5989583333333333,0.6309963139065307,0.4833333333333333,0.5464023336322263,0.016796370308955304
24,poly,100.0,1.0,3.0,[38 10 32 16],[35 13 29 19],[35 13 30 18],[35 13 29 19],[39  9 31 17],[38 10 31 17],[38 10 31 17],[40  8 30 18],[36 12 30 18],[36 12 30 18],0.5697916666666667,0.6188942882088042,0.36874999999999997,0.4613818170653613,0.009342794477134512
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
26,poly,100.0,10.0,2.0,[37 11 24 24],[34 14 25 23],[34 14 26 22],[31 17 23 25],[33 15 25 23],[35 13 28 20],[36 12 26 22],[39  9 24 24],[33 15 24 24],[31 17 23 25],0.5989583333333333,0.6309963139065307,0.4833333333333333,0.5464023336322263,0.016796370308955304
27,poly,100.0,10.0,3.0,[38 10 32 16],[35 13 29 19],[35 13 30 18],[35 13 29 19],[39  9 31 17],[38 10 31 17],[38 10 31 17],[40  8 30 18],[36 12 30 18],[36 12 30 18],0.5697916666666667,0.6188942882088042,0.36874999999999997,0.4613818170653613,0.009342794477134512
28,linear,1000.0,,,[27 21 21 27],[32 16 17 31],[30 18 21 27],[26 22 19 29],[29 19 22 26],[31 17 26 22],[28 20 23 25],[33 15 21 27],[30 18 22 26],[28 20 19 29],0.5864583333333333,0.5913740784961506,0.5604166666666668,0.5747312181715689,0.020844904194171707
29,rbf,1000.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
30,poly,1000.0,1.0,2.0,[37 11 24 24],[34 14 25 23],[34 14 26 22],[31 17 23 25],[33 15 25 23],[35 13 28 20],[36 12 26 22],[39  9 24 24],[33 15 24 24],[31 17 23 25],0.5989583333333333,0.6309963139065307,0.4833333333333333,0.5464023336322263,0.016796370308955304
31,poly,1000.0,1.0,3.0,[38 10 32 16],[35 13 29 19],[35 13 30 18],[35 13 29 19],[39  9 31 17],[38 10 31 17],[38 10 31 17],[40  8 30 18],[36 12 30 18],[36 12 30 18],0.5697916666666667,0.6188942882088042,0.36874999999999997,0.4613818170653613,0.009342794477134512
32,rbf,1000.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
33,poly,1000.0,10.0,2.0,[37 11 24 24],[34 14 25 23],[34 14 26 22],[31 17 23 25],[33 15 25 23],[35 13 28 20],[36 12 26 22],[39  9 24 24],[33 15 24 24],[31 17 23 25],0.5989583333333333,0.6309963139065307,0.4833333333333333,0.5464023336322263,0.016796370308955304
34,poly,1000.0,10.0,3.0,[38 10 32 16],[35 13 29 19],[35 13 30 18],[35 13 29 19],[39  9 31 17],[38 10 31 17],[38 10 31 17],[40  8 30 18],[36 12 30 18],[36 12 30 18],0.5697916666666667,0.6188942882088042,0.36874999999999997,0.4613818170653613,0.009342794477134512
