,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,3,50,[40  8 15 33],[37 11 16 32],[39  9 17 31],[37 11 16 32],[34 14 17 31],[34 14 16 32],[36 12 17 31],[40  8 17 31],[35 13 13 35],[37 11 14 34]
1,3,183,[41  7 13 35],[39  9 15 33],[37 11 16 32],[41  7 15 33],[36 12 14 34],[35 13 14 34],[32 16 13 35],[37 11 13 35],[36 12 13 35],[35 13 14 34]
2,3,316,[41  7 13 35],[37 11 15 33],[38 10 16 32],[37 11 16 32],[36 12 14 34],[33 15 14 34],[32 16 14 34],[37 11 14 34],[35 13 12 36],[34 14 16 32]
3,3,450,[38 10 14 34],[36 12 16 32],[36 12 16 32],[35 13 16 32],[34 14 13 35],[33 15 15 33],[32 16 14 34],[39  9 14 34],[33 15 12 36],[34 14 17 31]
4,4,50,[38 10 17 31],[36 12 13 35],[35 13 15 33],[37 11 17 31],[32 16 16 32],[33 15 18 30],[37 11 18 30],[39  9 19 29],[36 12 15 33],[35 13 14 34]
5,4,183,[39  9 14 34],[38 10 16 32],[38 10 15 33],[38 10 15 33],[33 15 14 34],[35 13 17 31],[38 10 12 36],[38 10 15 33],[37 11 13 35],[35 13 14 34]
6,4,316,[39  9 15 33],[39  9 14 34],[34 14 15 33],[38 10 15 33],[34 14 14 34],[35 13 17 31],[35 13 13 35],[37 11 14 34],[38 10 11 37],[34 14 14 34]
7,4,450,[39  9 14 34],[35 13 14 34],[32 16 14 34],[37 11 15 33],[32 16 14 34],[34 14 17 31],[34 14 13 35],[39  9 14 34],[37 11 10 38],[33 15 15 33]
8,5,50,[37 11 17 31],[36 12 15 33],[34 14 14 34],[38 10 17 31],[35 13 15 33],[34 14 19 29],[37 11 16 32],[32 16 17 31],[36 12 14 34],[34 14 16 32]
9,5,183,[38 10 17 31],[38 10 15 33],[35 13 16 32],[36 12 15 33],[34 14 13 35],[35 13 16 32],[35 13 15 33],[34 14 15 33],[37 11 13 35],[35 13 15 33]
10,5,316,[38 10 17 31],[37 11 14 34],[34 14 16 32],[37 11 15 33],[34 14 13 35],[36 12 17 31],[34 14 14 34],[33 15 15 33],[38 10 10 38],[34 14 16 32]
11,5,450,[38 10 15 33],[34 14 14 34],[33 15 16 32],[37 11 15 33],[33 15 14 34],[36 12 17 31],[33 15 13 35],[35 13 14 34],[38 10 10 38],[33 15 15 33]
12,6,50,[35 13 16 32],[36 12 15 33],[34 14 14 34],[38 10 17 31],[34 14 15 33],[34 14 18 30],[37 11 16 32],[29 19 17 31],[34 14 14 34],[33 15 16 32]
13,6,183,[38 10 16 32],[38 10 15 33],[36 12 16 32],[38 10 15 33],[34 14 13 35],[35 13 16 32],[36 12 13 35],[36 12 15 33],[37 11 12 36],[35 13 15 33]
14,6,316,[38 10 17 31],[37 11 14 34],[35 13 16 32],[38 10 15 33],[32 16 13 35],[36 12 17 31],[34 14 13 35],[34 14 15 33],[38 10 10 38],[34 14 16 32]
15,6,450,[39  9 15 33],[35 13 14 34],[34 14 16 32],[37 11 15 33],[33 15 14 34],[35 13 17 31],[33 15 13 35],[36 12 15 33],[37 11 10 38],[32 16 15 33]
16,7,50,[35 13 16 32],[36 12 15 33],[34 14 14 34],[38 10 17 31],[34 14 15 33],[34 14 18 30],[37 11 16 32],[29 19 17 31],[34 14 14 34],[33 15 16 32]
17,7,183,[38 10 17 31],[38 10 15 33],[36 12 16 32],[38 10 15 33],[34 14 13 35],[35 13 16 32],[36 12 13 35],[36 12 15 33],[37 11 12 36],[35 13 15 33]
18,7,316,[38 10 17 31],[37 11 14 34],[35 13 16 32],[38 10 15 33],[32 16 13 35],[36 12 17 31],[34 14 13 35],[34 14 15 33],[38 10 10 38],[34 14 16 32]
19,7,450,[39  9 15 33],[35 13 14 34],[34 14 15 33],[37 11 15 33],[33 15 14 34],[35 13 17 31],[33 15 13 35],[36 12 15 33],[37 11 10 38],[32 16 15 33]
