,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
19,poly,10.0,10.0,2.0,[30 18 17 31],[28 20 20 28],[28 20 18 30],[34 14 20 28],[30 18 17 31],[31 17 22 26],[33 15 24 24],[32 16 13 35],[33 15 17 31],[29 19 22 26],0.6229166666666667,0.6273307231684253,0.6041666666666667,0.6145088638440313,0.025382870670134807
20,poly,10.0,10.0,3.0,[31 17 21 27],[28 20 19 29],[27 21 20 28],[32 16 20 28],[29 19 16 32],[28 20 24 24],[30 18 19 29],[30 18 14 34],[28 20 21 27],[26 22 21 27],0.5979166666666667,0.5982526755680698,0.59375,0.5954762082120123,0.02468942893698774
21,linear,100.0,,,[29 19 20 28],[33 15 24 24],[37 11 23 25],[36 12 15 33],[36 12 23 25],[27 21 19 29],[31 17 20 28],[32 16 23 25],[35 13 23 25],[33 15 17 31],0.6270833333333334,0.6458368849792697,0.5687499999999999,0.6031103472911733,0.02649831115047071
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
23,poly,100.0,1.0,2.0,[30 18 17 31],[28 20 20 28],[28 20 18 30],[34 14 20 28],[30 18 17 31],[31 17 22 26],[33 15 24 24],[32 16 13 35],[33 15 17 31],[29 19 22 26],0.6229166666666667,0.6273307231684253,0.6041666666666667,0.6145088638440313,0.025382870670134807
24,poly,100.0,1.0,3.0,[31 17 21 27],[28 20 19 29],[27 21 20 28],[32 16 20 28],[29 19 16 32],[28 20 24 24],[30 18 19 29],[30 18 14 34],[28 20 21 27],[26 22 21 27],0.5979166666666667,0.5982526755680698,0.59375,0.5954762082120123,0.02468942893698774
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
26,poly,100.0,10.0,2.0,[30 18 17 31],[28 20 20 28],[28 20 18 30],[34 14 20 28],[30 18 17 31],[31 17 22 26],[33 15 24 24],[32 16 13 35],[33 15 17 31],[29 19 22 26],0.6229166666666667,0.6273307231684253,0.6041666666666667,0.6145088638440313,0.025382870670134807
27,poly,100.0,10.0,3.0,[31 17 21 27],[28 20 19 29],[27 21 20 28],[32 16 20 28],[29 19 16 32],[28 20 24 24],[30 18 19 29],[30 18 14 34],[28 20 21 27],[26 22 21 27],0.5979166666666667,0.5982526755680698,0.59375,0.5954762082120123,0.02468942893698774
28,linear,1000.0,,,[29 19 20 28],[32 16 24 24],[37 11 23 25],[36 12 15 33],[36 12 23 25],[27 21 19 29],[31 17 19 29],[32 16 23 25],[35 13 23 25],[33 15 17 31],0.6270833333333334,0.6451196794794554,0.5708333333333333,0.603970461939658,0.027038781019349697
29,rbf,1000.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
30,poly,1000.0,1.0,2.0,[30 18 17 31],[28 20 20 28],[28 20 18 30],[34 14 20 28],[30 18 17 31],[31 17 22 26],[33 15 24 24],[32 16 13 35],[33 15 17 31],[29 19 22 26],0.6229166666666667,0.6273307231684253,0.6041666666666667,0.6145088638440313,0.025382870670134807
31,poly,1000.0,1.0,3.0,[31 17 21 27],[28 20 19 29],[27 21 20 28],[32 16 20 28],[29 19 16 32],[28 20 24 24],[30 18 19 29],[30 18 14 34],[28 20 21 27],[26 22 21 27],0.5979166666666667,0.5982526755680698,0.59375,0.5954762082120123,0.02468942893698774
32,rbf,1000.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
33,poly,1000.0,10.0,2.0,[30 18 17 31],[28 20 20 28],[28 20 18 30],[34 14 20 28],[30 18 17 31],[31 17 22 26],[33 15 24 24],[32 16 13 35],[33 15 17 31],[29 19 22 26],0.6229166666666667,0.6273307231684253,0.6041666666666667,0.6145088638440313,0.025382870670134807
34,poly,1000.0,10.0,3.0,[31 17 21 27],[28 20 19 29],[27 21 20 28],[32 16 20 28],[29 19 16 32],[28 20 24 24],[30 18 19 29],[30 18 14 34],[28 20 21 27],[26 22 21 27],0.5979166666666667,0.5982526755680698,0.59375,0.5954762082120123,0.02468942893698774
