,N_Estimators,Max_Depth,Confusion Matrix Split 47
0,200,5,"[2, 3, 1, 3]"
1,200,7,"[2, 3, 2, 2]"
2,200,10,"[3, 2, 2, 2]"
3,300,5,"[2, 3, 1, 3]"
4,300,7,"[2, 3, 1, 3]"
5,300,10,"[2, 3, 1, 3]"
6,400,5,"[2, 3, 1, 3]"
7,400,7,"[2, 3, 1, 3]"
8,400,10,"[2, 3, 1, 3]"
9,500,5,"[2, 3, 2, 2]"
10,500,7,"[2, 3, 2, 2]"
11,500,10,"[2, 3, 2, 2]"
