,Max_depth,N_estimators,Confusion Matrix Split 15
0,3,50,"[4, 1, 5, 0]"
1,3,183,"[4, 1, 5, 0]"
2,3,316,"[4, 1, 5, 0]"
3,3,450,"[4, 1, 5, 0]"
4,4,50,"[4, 1, 5, 0]"
5,4,183,"[4, 1, 5, 0]"
6,4,316,"[4, 1, 5, 0]"
7,4,450,"[4, 1, 5, 0]"
8,5,50,"[4, 1, 5, 0]"
9,5,183,"[4, 1, 5, 0]"
10,5,316,"[4, 1, 5, 0]"
11,5,450,"[4, 1, 5, 0]"
12,6,50,"[4, 1, 5, 0]"
13,6,183,"[4, 1, 5, 0]"
14,6,316,"[4, 1, 5, 0]"
15,6,450,"[4, 1, 5, 0]"
16,7,50,"[4, 1, 5, 0]"
17,7,183,"[4, 1, 5, 0]"
18,7,316,"[4, 1, 5, 0]"
19,7,450,"[4, 1, 5, 0]"
