,Max_depth,N_estimators,Confusion Matrix Split 91,Confusion Matrix Split 92,Confusion Matrix Split 93,Confusion Matrix Split 94,Confusion Matrix Split 95,Confusion Matrix Split 96,Confusion Matrix Split 97,Confusion Matrix Split 98,Confusion Matrix Split 99,Confusion Matrix Split 100
0,3,50,"[2, 3, 2, 3]","[5, 0, 2, 3]","[2, 3, 0, 5]","[3, 2, 2, 3]","[5, 0, 1, 4]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
1,3,183,"[1, 4, 1, 4]","[5, 0, 2, 3]","[2, 3, 0, 5]","[2, 3, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
2,3,316,"[1, 4, 1, 4]","[5, 0, 2, 3]","[2, 3, 1, 4]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
3,3,450,"[1, 4, 1, 4]","[5, 0, 1, 4]","[3, 2, 1, 4]","[2, 3, 1, 4]","[5, 0, 2, 3]","[4, 1, 0, 5]","[3, 2, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
4,4,50,"[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[3, 2, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 3, 1]","[3, 1, 2, 3]","[2, 2, 2, 3]"
5,4,183,"[2, 3, 1, 4]","[5, 0, 1, 4]","[2, 3, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
6,4,316,"[1, 4, 1, 4]","[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
7,4,450,"[1, 4, 1, 4]","[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
8,5,50,"[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[3, 2, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
9,5,183,"[2, 3, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
10,5,316,"[1, 4, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
11,5,450,"[1, 4, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
12,6,50,"[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[3, 2, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
13,6,183,"[2, 3, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
14,6,316,"[1, 4, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
15,6,450,"[1, 4, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
16,7,50,"[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[3, 2, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[3, 2, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
17,7,183,"[2, 3, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
18,7,316,"[1, 4, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
19,7,450,"[1, 4, 1, 4]","[5, 0, 1, 4]","[3, 2, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 1, 3]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
