,N_Estimators,Max_Depth,Confusion Matrix Split 89
0,200,5,"[4, 0, 2, 3]"
1,200,7,"[4, 0, 2, 3]"
2,200,10,"[4, 0, 2, 3]"
3,300,5,"[4, 0, 3, 2]"
4,300,7,"[4, 0, 3, 2]"
5,300,10,"[4, 0, 3, 2]"
6,400,5,"[4, 0, 3, 2]"
7,400,7,"[4, 0, 3, 2]"
8,400,10,"[4, 0, 3, 2]"
9,500,5,"[4, 0, 3, 2]"
10,500,7,"[4, 0, 3, 2]"
11,500,10,"[4, 0, 3, 2]"
