,Max_depth,N_estimators,Confusion Matrix Split 64
0,3,50,"[3, 2, 3, 2]"
1,3,183,"[3, 2, 3, 2]"
2,3,316,"[3, 2, 3, 2]"
3,3,450,"[3, 2, 3, 2]"
4,4,50,"[4, 1, 4, 1]"
5,4,183,"[3, 2, 4, 1]"
6,4,316,"[3, 2, 4, 1]"
7,4,450,"[3, 2, 4, 1]"
8,5,50,"[4, 1, 4, 1]"
9,5,183,"[4, 1, 4, 1]"
10,5,316,"[3, 2, 4, 1]"
11,5,450,"[3, 2, 4, 1]"
12,6,50,"[4, 1, 4, 1]"
13,6,183,"[4, 1, 4, 1]"
14,6,316,"[3, 2, 4, 1]"
15,6,450,"[3, 2, 4, 1]"
16,7,50,"[4, 1, 4, 1]"
17,7,183,"[4, 1, 4, 1]"
18,7,316,"[3, 2, 4, 1]"
19,7,450,"[3, 2, 4, 1]"
