,Max_depth,N_estimators,Confusion Matrix Split 25
0,3,50,"[5, 0, 3, 2]"
1,3,183,"[5, 0, 3, 2]"
2,3,316,"[4, 1, 3, 2]"
3,3,450,"[4, 1, 3, 2]"
4,4,50,"[5, 0, 2, 3]"
5,4,183,"[5, 0, 2, 3]"
6,4,316,"[4, 1, 3, 2]"
7,4,450,"[4, 1, 3, 2]"
8,5,50,"[5, 0, 2, 3]"
9,5,183,"[5, 0, 2, 3]"
10,5,316,"[5, 0, 3, 2]"
11,5,450,"[4, 1, 3, 2]"
12,6,50,"[5, 0, 2, 3]"
13,6,183,"[5, 0, 2, 3]"
14,6,316,"[5, 0, 3, 2]"
15,6,450,"[4, 1, 3, 2]"
16,7,50,"[5, 0, 2, 3]"
17,7,183,"[5, 0, 2, 3]"
18,7,316,"[5, 0, 3, 2]"
19,7,450,"[4, 1, 3, 2]"
