,Max_depth,N_estimators,Confusion Matrix Split 88
0,3,50,"[1, 4, 4, 0]"
1,3,183,"[1, 4, 3, 1]"
2,3,316,"[1, 4, 3, 1]"
3,3,450,"[1, 4, 3, 1]"
4,4,50,"[3, 2, 4, 0]"
5,4,183,"[1, 4, 3, 1]"
6,4,316,"[1, 4, 3, 1]"
7,4,450,"[1, 4, 3, 1]"
8,5,50,"[4, 1, 4, 0]"
9,5,183,"[3, 2, 3, 1]"
10,5,316,"[2, 3, 3, 1]"
11,5,450,"[2, 3, 3, 1]"
12,6,50,"[4, 1, 4, 0]"
13,6,183,"[3, 2, 4, 0]"
14,6,316,"[2, 3, 3, 1]"
15,6,450,"[2, 3, 3, 1]"
16,7,50,"[4, 1, 4, 0]"
17,7,183,"[3, 2, 4, 0]"
18,7,316,"[2, 3, 3, 1]"
19,7,450,"[2, 3, 3, 1]"
