,Kernel,C,Gamma,Degree,Confusion Matrix Split 1,Confusion Matrix Split 2,Confusion Matrix Split 3,Confusion Matrix Split 4,Confusion Matrix Split 5,Confusion Matrix Split 6,Confusion Matrix Split 7,Confusion Matrix Split 8,Confusion Matrix Split 9,Confusion Matrix Split 10
20,poly,10.0,10.0,3.0,"[4, 1, 5, 0]","[5, 0, 4, 1]","[4, 1, 2, 3]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 4, 1]","[4, 1, 3, 1]","[4, 1, 3, 1]","[4, 0, 2, 3]","[3, 1, 3, 2]"
21,linear,100.0,,,"[3, 2, 4, 1]","[3, 2, 3, 2]","[3, 2, 3, 2]","[3, 2, 1, 4]","[4, 1, 2, 3]","[1, 4, 2, 3]","[4, 1, 2, 2]","[3, 2, 2, 2]","[1, 3, 1, 4]","[2, 2, 2, 3]"
22,rbf,100.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
23,poly,100.0,1.0,2.0,"[4, 1, 4, 1]","[5, 0, 4, 1]","[2, 3, 1, 4]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 2, 3]","[4, 1, 3, 1]","[4, 1, 2, 2]","[3, 1, 2, 3]","[3, 1, 1, 4]"
24,poly,100.0,1.0,3.0,"[4, 1, 5, 0]","[5, 0, 4, 1]","[4, 1, 2, 3]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 4, 1]","[4, 1, 3, 1]","[4, 1, 3, 1]","[4, 0, 2, 3]","[3, 1, 3, 2]"
25,rbf,100.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
26,poly,100.0,10.0,2.0,"[4, 1, 4, 1]","[5, 0, 4, 1]","[2, 3, 1, 4]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 2, 3]","[4, 1, 3, 1]","[4, 1, 2, 2]","[3, 1, 2, 3]","[3, 1, 1, 4]"
27,poly,100.0,10.0,3.0,"[4, 1, 5, 0]","[5, 0, 4, 1]","[4, 1, 2, 3]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 4, 1]","[4, 1, 3, 1]","[4, 1, 3, 1]","[4, 0, 2, 3]","[3, 1, 3, 2]"
28,linear,1000.0,,,"[3, 2, 4, 1]","[3, 2, 3, 2]","[3, 2, 3, 2]","[3, 2, 1, 4]","[4, 1, 2, 3]","[1, 4, 2, 3]","[4, 1, 2, 2]","[3, 2, 2, 2]","[1, 3, 1, 4]","[2, 2, 2, 3]"
29,rbf,1000.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
30,poly,1000.0,1.0,2.0,"[4, 1, 4, 1]","[5, 0, 4, 1]","[2, 3, 1, 4]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 2, 3]","[4, 1, 3, 1]","[4, 1, 2, 2]","[3, 1, 2, 3]","[3, 1, 1, 4]"
31,poly,1000.0,1.0,3.0,"[4, 1, 5, 0]","[5, 0, 4, 1]","[4, 1, 2, 3]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 4, 1]","[4, 1, 3, 1]","[4, 1, 3, 1]","[4, 0, 2, 3]","[3, 1, 3, 2]"
32,rbf,1000.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
33,poly,1000.0,10.0,2.0,"[4, 1, 4, 1]","[5, 0, 4, 1]","[2, 3, 1, 4]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 2, 3]","[4, 1, 3, 1]","[4, 1, 2, 2]","[3, 1, 2, 3]","[3, 1, 1, 4]"
34,poly,1000.0,10.0,3.0,"[4, 1, 5, 0]","[5, 0, 4, 1]","[4, 1, 2, 3]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 4, 1]","[4, 1, 3, 1]","[4, 1, 3, 1]","[4, 0, 2, 3]","[3, 1, 3, 2]"
