,Max_depth,N_estimators,Confusion Matrix Split 57
0,3,50,"[2, 3, 0, 4]"
1,3,183,"[3, 2, 1, 3]"
2,3,316,"[3, 2, 1, 3]"
3,3,450,"[3, 2, 1, 3]"
4,4,50,"[2, 3, 0, 4]"
5,4,183,"[3, 2, 1, 3]"
6,4,316,"[3, 2, 1, 3]"
7,4,450,"[3, 2, 1, 3]"
8,5,50,"[3, 2, 0, 4]"
9,5,183,"[3, 2, 0, 4]"
10,5,316,"[3, 2, 1, 3]"
11,5,450,"[3, 2, 1, 3]"
12,6,50,"[3, 2, 0, 4]"
13,6,183,"[3, 2, 0, 4]"
14,6,316,"[3, 2, 1, 3]"
15,6,450,"[3, 2, 1, 3]"
16,7,50,"[3, 2, 0, 4]"
17,7,183,"[3, 2, 0, 4]"
18,7,316,"[3, 2, 1, 3]"
19,7,450,"[3, 2, 1, 3]"
