,N_Estimators,Max_Depth,Confusion Matrix Split 43
0,200,5,"[5, 0, 2, 3]"
1,200,7,"[5, 0, 2, 3]"
2,200,10,"[5, 0, 2, 3]"
3,300,5,"[5, 0, 2, 3]"
4,300,7,"[4, 1, 2, 3]"
5,300,10,"[4, 1, 2, 3]"
6,400,5,"[5, 0, 1, 4]"
7,400,7,"[4, 1, 1, 4]"
8,400,10,"[4, 1, 1, 4]"
9,500,5,"[5, 0, 1, 4]"
10,500,7,"[4, 1, 1, 4]"
11,500,10,"[4, 1, 1, 4]"
