,Kernel,C,Gamma,Degree,Confusion Matrix Split 83
0,linear,0.1,,,"[2, 3, 1, 4]"
1,rbf,0.1,1,,"[0, 5, 0, 5]"
2,poly,0.1,1,2,"[2, 3, 0, 5]"
3,poly,0.1,1,3,"[2, 3, 0, 5]"
4,rbf,0.1,10.0,,"[0, 5, 0, 5]"
5,poly,0.1,10.0,2,"[2, 3, 0, 5]"
6,poly,0.1,10.0,3,"[2, 3, 0, 5]"
7,linear,1,,,"[2, 3, 1, 4]"
8,rbf,1,1,,"[0, 5, 0, 5]"
9,poly,1,1,2,"[2, 3, 0, 5]"
10,poly,1,1,3,"[2, 3, 0, 5]"
11,rbf,1,10.0,,"[0, 5, 0, 5]"
12,poly,1,10.0,2,"[2, 3, 0, 5]"
13,poly,1,10.0,3,"[2, 3, 0, 5]"
14,linear,10.0,,,"[2, 3, 1, 4]"
15,rbf,10.0,1,,"[0, 5, 0, 5]"
16,poly,10.0,1,2,"[2, 3, 0, 5]"
17,poly,10.0,1,3,"[2, 3, 0, 5]"
18,rbf,10.0,10.0,,"[0, 5, 0, 5]"
19,poly,10.0,10.0,2,"[2, 3, 0, 5]"
20,poly,10.0,10.0,3,"[2, 3, 0, 5]"
21,linear,100.0,,,"[2, 3, 1, 4]"
22,rbf,100.0,1,,"[0, 5, 0, 5]"
23,poly,100.0,1,2,"[2, 3, 0, 5]"
24,poly,100.0,1,3,"[2, 3, 0, 5]"
25,rbf,100.0,10.0,,"[0, 5, 0, 5]"
26,poly,100.0,10.0,2,"[2, 3, 0, 5]"
27,poly,100.0,10.0,3,"[2, 3, 0, 5]"
28,linear,1000.0,,,"[2, 3, 1, 4]"
29,rbf,1000.0,1,,"[0, 5, 0, 5]"
30,poly,1000.0,1,2,"[2, 3, 0, 5]"
31,poly,1000.0,1,3,"[2, 3, 0, 5]"
32,rbf,1000.0,10.0,,"[0, 5, 0, 5]"
33,poly,1000.0,10.0,2,"[2, 3, 0, 5]"
34,poly,1000.0,10.0,3,"[2, 3, 0, 5]"
