,N_Estimators,Max_Depth,Confusion Matrix Split 59
0,200,5,"[3, 1, 2, 3]"
1,200,7,"[4, 0, 2, 3]"
2,200,10,"[4, 0, 2, 3]"
3,300,5,"[3, 1, 2, 3]"
4,300,7,"[4, 0, 2, 3]"
5,300,10,"[3, 1, 2, 3]"
6,400,5,"[3, 1, 2, 3]"
7,400,7,"[3, 1, 2, 3]"
8,400,10,"[3, 1, 2, 3]"
9,500,5,"[3, 1, 2, 3]"
10,500,7,"[3, 1, 2, 3]"
11,500,10,"[3, 1, 2, 3]"
