,N_Estimators,Max_Depth,Confusion Matrix Split 3
0,200,5,"[3, 2, 0, 5]"
1,200,7,"[3, 2, 0, 5]"
2,200,10,"[3, 2, 0, 5]"
3,300,5,"[3, 2, 0, 5]"
4,300,7,"[3, 2, 0, 5]"
5,300,10,"[3, 2, 0, 5]"
6,400,5,"[3, 2, 0, 5]"
7,400,7,"[3, 2, 0, 5]"
8,400,10,"[3, 2, 0, 5]"
9,500,5,"[2, 3, 0, 5]"
10,500,7,"[3, 2, 0, 5]"
11,500,10,"[3, 2, 0, 5]"
