,N_Estimators,Max_Depth,Confusion Matrix Split 71,Confusion Matrix Split 72,Confusion Matrix Split 73,Confusion Matrix Split 74,Confusion Matrix Split 75,Confusion Matrix Split 76,Confusion Matrix Split 77,Confusion Matrix Split 78,Confusion Matrix Split 79,Confusion Matrix Split 80
0,200,5,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 3, 2]","[3, 2, 2, 2]","[3, 2, 0, 4]","[1, 3, 0, 5]","[3, 1, 1, 4]"
1,200,7,"[4, 1, 2, 3]","[5, 0, 2, 3]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[4, 1, 0, 4]","[1, 3, 0, 5]","[3, 1, 2, 3]"
2,200,10,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[4, 1, 0, 4]","[1, 3, 0, 5]","[3, 1, 2, 3]"
3,300,5,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[3, 2, 0, 4]","[1, 3, 0, 5]","[3, 1, 1, 4]"
4,300,7,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[4, 1, 0, 4]","[1, 3, 0, 5]","[3, 1, 1, 4]"
5,300,10,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[4, 1, 0, 4]","[1, 3, 0, 5]","[3, 1, 1, 4]"
6,400,5,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[3, 2, 0, 5]","[5, 0, 2, 3]","[3, 2, 3, 2]","[3, 2, 2, 2]","[3, 2, 0, 4]","[1, 3, 0, 5]","[3, 1, 1, 4]"
7,400,7,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[4, 1, 0, 4]","[1, 3, 0, 5]","[3, 1, 1, 4]"
8,400,10,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[3, 2, 0, 4]","[1, 3, 0, 5]","[3, 1, 1, 4]"
9,500,5,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[3, 2, 0, 4]","[1, 3, 0, 5]","[3, 1, 1, 4]"
10,500,7,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[4, 1, 0, 4]","[1, 3, 0, 5]","[3, 1, 1, 4]"
11,500,10,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 1, 4]","[4, 1, 0, 5]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 2]","[4, 1, 0, 4]","[2, 2, 0, 5]","[3, 1, 1, 4]"
