,N_Estimators,Max_Depth,Confusion Matrix Split 2
0,200,5,"[3, 2, 4, 1]"
1,200,7,"[3, 2, 4, 1]"
2,200,10,"[3, 2, 4, 1]"
3,300,5,"[3, 2, 3, 2]"
4,300,7,"[3, 2, 3, 2]"
5,300,10,"[3, 2, 3, 2]"
6,400,5,"[3, 2, 4, 1]"
7,400,7,"[3, 2, 4, 1]"
8,400,10,"[3, 2, 4, 1]"
9,500,5,"[3, 2, 3, 2]"
10,500,7,"[3, 2, 4, 1]"
11,500,10,"[3, 2, 4, 1]"
