,Max_depth,N_estimators,Confusion Matrix Split 3
0,3,50,"[4, 1, 2, 3]"
1,3,183,"[3, 2, 2, 3]"
2,3,316,"[3, 2, 3, 2]"
3,3,450,"[3, 2, 3, 2]"
4,4,50,"[3, 2, 2, 3]"
5,4,183,"[3, 2, 3, 2]"
6,4,316,"[3, 2, 3, 2]"
7,4,450,"[3, 2, 3, 2]"
8,5,50,"[4, 1, 2, 3]"
9,5,183,"[3, 2, 3, 2]"
10,5,316,"[3, 2, 3, 2]"
11,5,450,"[3, 2, 3, 2]"
12,6,50,"[3, 2, 2, 3]"
13,6,183,"[3, 2, 3, 2]"
14,6,316,"[3, 2, 3, 2]"
15,6,450,"[3, 2, 3, 2]"
16,7,50,"[3, 2, 2, 3]"
17,7,183,"[3, 2, 3, 2]"
18,7,316,"[3, 2, 3, 2]"
19,7,450,"[3, 2, 3, 2]"
