,Max_depth,N_estimators,Confusion Matrix Split 72
0,3,50,"[4, 1, 2, 3]"
1,3,183,"[5, 0, 1, 4]"
2,3,316,"[5, 0, 1, 4]"
3,3,450,"[5, 0, 1, 4]"
4,4,50,"[3, 2, 3, 2]"
5,4,183,"[3, 2, 2, 3]"
6,4,316,"[4, 1, 1, 4]"
7,4,450,"[4, 1, 1, 4]"
8,5,50,"[3, 2, 3, 2]"
9,5,183,"[3, 2, 2, 3]"
10,5,316,"[4, 1, 1, 4]"
11,5,450,"[4, 1, 1, 4]"
12,6,50,"[3, 2, 3, 2]"
13,6,183,"[3, 2, 2, 3]"
14,6,316,"[4, 1, 1, 4]"
15,6,450,"[4, 1, 1, 4]"
16,7,50,"[3, 2, 3, 2]"
17,7,183,"[3, 2, 2, 3]"
18,7,316,"[4, 1, 1, 4]"
19,7,450,"[4, 1, 1, 4]"
