,Max_depth,N_estimators,Confusion Matrix Split 37
0,3,50,"[4, 1, 2, 2]"
1,3,183,"[4, 1, 2, 2]"
2,3,316,"[3, 2, 2, 2]"
3,3,450,"[3, 2, 2, 2]"
4,4,50,"[4, 1, 1, 3]"
5,4,183,"[4, 1, 2, 2]"
6,4,316,"[4, 1, 2, 2]"
7,4,450,"[4, 1, 2, 2]"
8,5,50,"[5, 0, 1, 3]"
9,5,183,"[4, 1, 2, 2]"
10,5,316,"[4, 1, 2, 2]"
11,5,450,"[4, 1, 2, 2]"
12,6,50,"[5, 0, 1, 3]"
13,6,183,"[4, 1, 2, 2]"
14,6,316,"[4, 1, 2, 2]"
15,6,450,"[4, 1, 2, 2]"
16,7,50,"[5, 0, 1, 3]"
17,7,183,"[4, 1, 2, 2]"
18,7,316,"[4, 1, 2, 2]"
19,7,450,"[4, 1, 2, 2]"
