,Max_depth,N_estimators,Confusion Matrix Split 58
0,3,50,"[1, 4, 1, 3]"
1,3,183,"[1, 4, 0, 4]"
2,3,316,"[0, 5, 0, 4]"
3,3,450,"[0, 5, 0, 4]"
4,4,50,"[1, 4, 0, 4]"
5,4,183,"[1, 4, 0, 4]"
6,4,316,"[0, 5, 0, 4]"
7,4,450,"[0, 5, 0, 4]"
8,5,50,"[0, 5, 1, 3]"
9,5,183,"[0, 5, 0, 4]"
10,5,316,"[0, 5, 0, 4]"
11,5,450,"[0, 5, 0, 4]"
12,6,50,"[0, 5, 1, 3]"
13,6,183,"[0, 5, 0, 4]"
14,6,316,"[0, 5, 0, 4]"
15,6,450,"[0, 5, 0, 4]"
16,7,50,"[0, 5, 1, 3]"
17,7,183,"[0, 5, 0, 4]"
18,7,316,"[0, 5, 0, 4]"
19,7,450,"[0, 5, 0, 4]"
