,Max_depth,N_estimators,Confusion Matrix Split 42
0,3,50,"[5, 0, 3, 2]"
1,3,183,"[5, 0, 4, 1]"
2,3,316,"[5, 0, 4, 1]"
3,3,450,"[5, 0, 4, 1]"
4,4,50,"[5, 0, 3, 2]"
5,4,183,"[5, 0, 4, 1]"
6,4,316,"[5, 0, 4, 1]"
7,4,450,"[5, 0, 4, 1]"
8,5,50,"[5, 0, 3, 2]"
9,5,183,"[5, 0, 4, 1]"
10,5,316,"[5, 0, 4, 1]"
11,5,450,"[5, 0, 4, 1]"
12,6,50,"[5, 0, 3, 2]"
13,6,183,"[5, 0, 4, 1]"
14,6,316,"[5, 0, 4, 1]"
15,6,450,"[5, 0, 4, 1]"
16,7,50,"[5, 0, 3, 2]"
17,7,183,"[5, 0, 4, 1]"
18,7,316,"[5, 0, 4, 1]"
19,7,450,"[5, 0, 4, 1]"
